"","datasetName","decimalLatitude","decimalLongitude","Year","Month","individualCount","vernacularName","pa"
"5418","NEFSC Right Whale Aerial Survey",42.66014,-69.01083,"2013","05","1","Basking shark",1
"5419","NYSDEC aerial surveys",40.314739,-72.100336,"2018","06","4","basking shark",1
"5420","NEFSC Right Whale Aerial Survey",43.24147,-68.98431,"2003","07","1","Basking shark",1
"5421","NEFSC Right Whale Aerial Survey",41.94187,-68.91157,"2014","06","1","Basking shark",1
"5422","NEFSC Right Whale Aerial Survey",41.93803,-69.78676,"2005","06","1","Basking shark",1
"5423","NEFSC Right Whale Aerial Survey",42.94449,-65.61867,"2014","07","1","Basking shark",1
"5424","NEFSC Right Whale Aerial Survey",41.7429,-69.54512,"2012","06","1","Basking shark",1
"5425","NEFSC Right Whale Aerial Survey",42.04704,-69.36358,"2014","06","1","Basking shark",1
"5426","NEFSC Right Whale Aerial Survey",42.3081,-68.65365,"2014","06","1","Basking shark",1
"5427","NEFSC Right Whale Aerial Survey",42.33132,-68.7319,"2015","05","1","Basking shark",1
"5428","NEFSC Right Whale Aerial Survey",41.46,-68.86201,"2003","07","1","Basking shark",1
"5429","NEFSC Right Whale Aerial Survey",42.781,-69.24409,"2009","07","1","Basking shark",1
"5430","NEFSC Right Whale Aerial Survey",41.4255,-68.99333,"2005","07","1","Basking shark",1
"5431","NEFSC Right Whale Aerial Survey",41.74054,-68.62103,"2016","05","1","Basking shark",1
"5432","NEFSC Right Whale Aerial Survey",41.14068,-69.29566,"2002","07","1","Basking shark",1
"5433","NEFSC Right Whale Aerial Survey",41.02166,-71.16206,"2011","06","1","Basking shark",1
"5434","NEFSC Right Whale Aerial Survey",41.7945,-69.52756,"2003","07","2","Basking shark",1
"5435","NEFSC Right Whale Aerial Survey",42.4189,-69.29857,"2014","06","1","Basking shark",1
"5436","NEFSC Right Whale Aerial Survey",42.03789,-69.38519,"2014","06","1","Basking shark",1
"5437","NEFSC Right Whale Aerial Survey",41.81808,-68.52728,"2008","07","1","Basking shark",1
"5438","NEFSC Right Whale Aerial Survey",42.92709,-68.88174,"2011","06","1","Basking shark",1
"5439","NEFSC Right Whale Aerial Survey",44.25093,-67.55784,"2007","10","1","Basking shark",1
"5440","NEFSC North Atlantic Marine Mammal and Turtle Aerial Abundance Survey 2007",41.72,-69.71,"2007","08","1","basking shark",1
"5441","NEFSC Right Whale Aerial Survey",42.00555,-69.33557,"2011","05","1","Basking shark",1
"5442","NEFSC Right Whale Aerial Survey",42.62228,-69.40152,"2009","07","1","Basking shark",1
"5443","Digital Aerial Baseline Survey of Marine Wildlife in Support of Offshore Wind Energy - OPA 2017",40.4833,-72.4095,"2017","08","1","basking shark",1
"5444","NEFSC Right Whale Aerial Survey",44.0147,-67.89461,"2013","06","1","Basking shark",1
"5445","NEFSC Right Whale Aerial Survey",42.53316,-69.20667,"2003","07","1","Basking shark",1
"5446","NEFSC Right Whale Aerial Survey",42.52149,-67.93678,"2012","05","1","Basking shark",1
"5447","NEFSC Right Whale Aerial Survey",42.00415,-68.08655,"2014","06","1","Basking shark",1
"5448","NEFSC Right Whale Aerial Survey",42.03898,-67.93171,"2014","06","1","Basking shark",1
"5449","NEFSC Right Whale Aerial Survey",42.17449,-69.84152,"2014","06","1","Basking shark",1
"5450","NEFSC Right Whale Aerial Survey",42.372,-70.4215,"2003","09","5","Basking shark",1
"5451","NEFSC Right Whale Aerial Survey",41.08484,-70.86389,"2011","05","2","Basking shark",1
"5452","NEFSC Right Whale Aerial Survey",41.267,-69.19642,"2003","05","1","Basking shark",1
"5453","NEFSC Right Whale Aerial Survey",41.88904,-69.38668,"2015","05","1","Basking shark",1
"5454","NEFSC Right Whale Aerial Survey",42.29506,-69.15261,"2023","04","1","Basking shark",1
"5455","NEFSC Right Whale Aerial Survey",41.9846,-69.16575,"2008","07","2","Basking shark",1
"5456","NEFSC Right Whale Aerial Survey",44.00352,-67.50694,"2015","06","1","Basking shark",1
"5457","NEFSC Right Whale Aerial Survey",42.10938,-69.09619,"2012","07","1","Basking shark",1
"5458","NEFSC Right Whale Aerial Survey",42.80175,-68.90567,"2006","07","1","Basking shark",1
"5459","NEFSC Right Whale Aerial Survey",41.589,-68.78467,"2002","07","1","Basking shark",1
"5460","NEFSC Right Whale Aerial Survey",42.31154,-69.05514,"2014","06","1","Basking shark",1
"5461","NEFSC Right Whale Aerial Survey",42.80888,-69.8865,"2002","07","1","Basking shark",1
"5462","NEFSC Right Whale Aerial Survey",43.26536,-68.80949,"2014","06","1","Basking shark",1
"5463","AMAPPS Northeast Aerial Cruise Spring 2017",40.404591,-67.336197,"2017","06","1","basking shark",1
"5464","NEFSC Right Whale Aerial Survey",42.19624,-68.80656,"2014","06","1","Basking shark",1
"5465","NEFSC Right Whale Aerial Survey",42.41894,-68.40088,"2014","06","2","Basking shark",1
"5466","NEFSC Right Whale Aerial Survey",44.0835,-67.39999,"2007","10","1","Basking shark",1
"5467","NEFSC Right Whale Aerial Survey",42.56617,-69.49048,"2002","06","1","Basking shark",1
"5468","NEFSC Aerial Circle-Back Abundance Survey 2004",44.666,-66.54491,"2004","07","1","basking shark",1
"5469","AMAPPS Northeast Aerial Cruise Spring 2017",42.641003,-67.657906,"2017","07","1","basking shark",1
"5470","NEFSC Right Whale Aerial Survey",41.3805,-68.90275,"2005","07","5","Basking shark",1
"5471","NEFSC Right Whale Aerial Survey",44.18306,-67.56704,"2013","06","1","Basking shark",1
"5472","NEFSC Right Whale Aerial Survey",43.3581,-68.52599,"2009","10","1","Basking shark",1
"5473","AMAPPS Northeast Shipboard Cruise Summer 2011",41.03642,-70.87489,"2011","07","1","basking shark",1
"5474","NEFSC Right Whale Aerial Survey",42.97105,-69.36398,"2011","06","1","Basking shark",1
"5475","Digital Aerial Baseline Survey of Marine Wildlife in Support of Offshore Wind Energy - OPA 2017",40.4247,-72.2673,"2017","08","1","basking shark",1
"5476","NEFSC Right Whale Aerial Survey",42.49133,-69.1945,"2000","07","1","Basking shark",1
"5477","NYSDEC aerial surveys",40.777472,-71.790644,"2019","07","1","basking shark",1
"5478","NEFSC Right Whale Aerial Survey",42.21781,-68.65783,"2014","06","1","Basking shark",1
"5479","NEFSC Right Whale Aerial Survey",41.71789,-69.07718,"2012","05","1","Basking shark",1
"5480","NEFSC Right Whale Aerial Survey",43.28238,-68.6668,"2015","06","1","Basking shark",1
"5481","NEFSC Right Whale Aerial Survey",41.79296,-69.60436,"2014","06","1","Basking shark",1
"5482","AMAPPS Northeast Aerial Cruise Summer 2016",43.488743,-68.211762,"2016","08","1","basking shark",1
"5483","AMAPPS Northeast Aerial Cruise Spring 2017",43.287396,-67.50312,"2017","06","1","basking shark",1
"5484",NA,43.1973304749,-69.5464172363,"2005","07",NA,NA,1
"5485","AMAPPS Northeast Aerial Cruise Spring 2017",42.718613,-67.749893,"2017","07","1","basking shark",1
"5486","NEFSC Right Whale Aerial Survey",42.51241,-69.57113,"2012","05","1","Basking shark",1
"5487","NEFSC Right Whale Aerial Survey",41.32335,-68.96277,"2002","06","1","Basking shark",1
"5488","NEFSC Right Whale Aerial Survey",41.57109,-69.20033,"2002","06","1","Basking shark",1
"5489","NEFSC Right Whale Aerial Survey",43.81932,-63.5919,"2015","07","1","Basking shark",1
"5490","NEFSC Right Whale Aerial Survey",43.17673,-68.7339,"2013","07","1","Basking shark",1
"5491","NEFSC Right Whale Aerial Survey",43.06915,-67.59289,"2015","06","1","Basking shark",1
"5492","NEFSC Right Whale Aerial Survey",42.46769,-69.34633,"2012","07","1","Basking shark",1
"5493","AMAPPS Northeast Aerial Cruise Spring 2019",40.686676,-71.224274,"2019","04","1","basking shark",1
"5494","NEFSC Aerial Circle-Back Abundance Survey 2006",43.79,-68.16,"2006","08","1","basking shark",1
"5495","NEFSC Right Whale Aerial Survey",42.1015,-69.91683,"2003","07","1","Basking shark",1
"5496","NEFSC Right Whale Aerial Survey",41.50961,-67.40051,"2012","06","1","Basking shark",1
